CRMS Site,Latitude,Longitude,NGOM2
CRMS0529,29.59944,-91.91679,0.54907
CRMS0530,29.57767,-92.01054,0.72558
CRMS0531,29.85347,-91.94804,0.82680
CRMS0532,29.82444,-91.94804,-1.56506
CRMS0535,29.64299,-92.16679,0.61495
CRMS0536,29.58492,-92.26054,0.63616
CRMS0541,29.61621,-92.04112,-1.20166
CRMS0542,29.80266,-91.63553,0.69454
CRMS0543,29.75186,-91.63553,0.48629
CRMS0544,29.68654,-91.57303,0.25023
CRMS0545,29.71557,-91.60428,0.40914
CRMS0547,29.83895,-91.69803,0.82761
CRMS0549,29.8317,-91.85429,0.59800
CRMS0550,29.76637,-91.69803,0.50054
CRMS0551,29.70105,-91.54178,0.58893
CRMS0552,29.79541,-92.13554,0.65534
CRMS0553,29.84623,-93.01057,0.60195
CRMS0554,29.83171,-92.6668,0.10540
CRMS0556,29.91155,-92.79181,0.40350
CRMS0557,29.94058,-92.66681,0.33681
CRMS0560,29.85348,-92.5418,0.55529
CRMS0562,29.76639,-92.76056,0.11266
CRMS0565,29.79541,-92.44805,0.43862
CRMS0567,29.90428,-92.44805,0.05000
CRMS0568,29.78815,-92.4168,0.42577
CRMS0570,29.80267,-92.38555,0.38468
CRMS0571,29.70831,-92.29179,0.65149
CRMS0572,29.78815,-92.29179,0.34573
CRMS0574,29.79542,-92.63555,0.28531
CRMS0575,29.94058,-92.94807,0.37910
CRMS0576,29.59219,-92.4793,0.26635
CRMS0580,29.6067,-92.32305,0.44571
CRMS0581,29.66477,-92.72931,0.58962
CRMS0583,29.83896,-92.91681,0.16542
CRMS0584,29.79542,-92.85431,0.25066
CRMS0587,29.79542,-92.91681,0.26843
CRMS0588,29.77364,-92.82306,0.20729
CRMS0589,29.66477,-92.82306,0.18080
CRMS0590,29.93332,-92.82306,0.09129
CRMS0593,29.99139,-92.76056,0.51818
CRMS0595,29.85348,-92.63555,0.66880
CRMS0599,29.6067,-92.66681,0.27455
CRMS0600,29.57767,-92.54181,0.71744
CRMS0603,29.80268,-92.76056,0.03733
CRMS0604,29.75912,-92.76056,0.04932
CRMS0605,29.86074,-92.91682,0.26006
CRMS0608,29.67203,-92.6668,0.23829
CRMS0609,29.63574,-92.6043,0.59928
CRMS0610,29.6067,-92.63555,0.49917
CRMS0614,29.73736,-92.88556,-0.05000
CRMS0615,29.67929,-92.82306,0.20808
CRMS0616,29.73009,-92.26054,0.66645
CRMS0618,29.73735,-92.26054,0.59756
CRMS0619,29.68654,-92.26054,0.87915
CRMS0622,29.80993,-92.97931,0.41140
CRMS0623,29.63573,-92.51055,0.48213
CRMS0624,29.86074,-92.88556,0.34782
CRMS0626,29.6938,-92.6043,0.41570
CRMS0630,29.78626,-92.79182,-0.15000
CRMS0632,29.57041,-92.38555,0.60154
CRMS0633,29.56315,-92.32304,0.63601
CRMS0635,29.91881,-93.47932,0.19109
CRMS0638,29.868,-93.51057,0.35049
CRMS0639,29.88977,-93.47932,0.47532
CRMS0641,29.89703,-93.51057,0.45730
CRMS0642,29.868,-93.47932,0.45119
CRMS0644,29.83171,-93.29182,-0.20000
CRMS0645,29.84623,-93.19807,-0.20000
CRMS0647,29.84623,-93.47932,0.47065
CRMS0648,29.83897,-93.16682,-0.20000
CRMS0650,29.91881,-93.13557,0.85034
CRMS0651,29.96236,-93.51057,0.25312
CRMS0655,29.79542,-93.41682,-0.20000
CRMS0656,30.02042,-93.26057,0.44391
CRMS0658,30.05671,-93.60432,0.47492
CRMS0660,29.91881,-93.66682,-0.20000
CRMS0661,29.84623,-93.63557,-0.20000
CRMS0662,30.03494,-93.69808,-0.20000
CRMS0663,30.01316,-93.69808,-0.20000
CRMS0665,29.96236,-93.69807,0.77852
CRMS0669,29.88251,-93.72932,0.21698
CRMS0672,29.83171,-93.41682,0.13582
CRMS0677,29.85349,-93.54182,0.47710
CRMS0680,29.77365,-93.51057,0.51813
CRMS0682,29.82445,-93.57307,0.27363
CRMS0683,29.88977,-93.66682,0.83804
CRMS0684,29.81719,-93.82308,0.32352
CRMS0685,29.88977,-93.38557,0.63605
CRMS0687,29.94058,-93.35432,0.62378
CRMS0691,29.96235,-93.10432,0.23491
CRMS0693,29.89703,-93.63557,0.43596
CRMS0694,29.88251,-93.54182,-0.20000
CRMS0697,30.06418,-93.66698,1.23490
CRMS0978,29.32365,-90.29251,0.09984
CRMS1024,29.87473,-89.37876,0.26333
CRMS1069,30.0485,-89.21826,0.05902
CRMS1100,29.65751,-92.44805,0.56105
CRMS1130,29.70106,-92.38555,0.49396
CRMS1205,29.87526,-93.57307,-0.20000
CRMS1277,29.82445,-92.4793,0.45440
CRMS1409,29.868,-93.01057,0.23924
CRMS1413,29.89703,-93.01057,0.38779
CRMS1446,29.92606,-92.82306,-0.00541
CRMS1650,29.80992,-92.04179,-0.46700
CRMS1738,29.85349,-93.22932,-0.20000
CRMS1743,29.88978,-93.22932,0.15704
CRMS1838,29.7809,-93.69807,0.12149
CRMS1858,29.83897,-93.51057,0.68360
CRMS1965,29.63573,-92.4793,-0.20000
CRMS2041,29.76638,-92.16679,0.55211
CRMS2154,29.84623,-93.69807,-0.20000
CRMS2156,29.87526,-93.69807,0.00000
CRMS2166,29.98413,-93.69808,0.53547
CRMS2189,29.92606,-93.76058,0.57623
CRMS2219,29.76639,-93.60432,0.28581
CRMS2334,29.88252,-93.51057,0.00000
CRMS2418,29.87526,-93.16682,-0.20000
CRMS2493,29.82445,-92.88556,0.51784
CRMS2568,29.56315,-91.35427,0.54000
CRMS2608,29.22983,-89.31328,0.02856
CRMS2614,29.33814,-89.32296,-0.01062
CRMS2627,29.2287,-89.18735,-0.13738
CRMS2634,29.22927,-89.26046,-0.21381
CRMS2785,29.50508,-91.04176,0.60287
CRMS2825,29.49783,-90.448,0.07330
CRMS2830,30.03624,-90.34074,0.55800
CRMS2854,30.30348,-89.97923,0.27000
CRMS2862,29.54863,-91.07301,0.47775
CRMS2881,29.47605,-91.01051,0.36494
CRMS2887,29.5196,-90.91676,0.29016
CRMS2939,29.59944,-90.573,0.23767
CRMS2991,29.63573,-90.448,0.44600
CRMS3054,29.72283,-90.35425,0.41000
CRMS3136,29.94783,-90.63551,0.35500
CRMS3166,29.8585,-90.28868,-0.12000
CRMS3169,29.88891,-90.27227,0.40600
CRMS3296,29.38896,-90.47925,-0.00009
CRMS3565,29.49783,-90.10424,-0.04255
CRMS3590,29.48331,-89.94798,0.25932
CRMS3601,29.57767,-89.94798,-0.14431
CRMS3617,29.54863,-89.91673,-0.10281
CRMS3626,30.10751,-89.85423,0.32500
